Date,Crude_OK_WTI_Spot_Price_FOB_Per_Barrel,Crude_EuropeBrent_Spot_Price_FOB_Per_Barrel,ConvenGasoline_NY_Harbor_Reg_Spot_Price_FOB,ConvenGasoline_US_GulfCoast_Reg_Spot_Price_FOB,RBOBGasoline_LA_Reformulated_Reg_Spot_Price,HeatingOil_NY_Harbor2_Spot_Price_FOB,DieselFuelUltraLowSulfer2_NY_Harbor_Spot_Price,DieselFuelUltraLowSulfer2_US_GulfCoast_Spot_Price,DieselFuelUltraLowSulfer_CARB_LA_Spot_Price,KeroseneJetFuel_US_GulfCoast_Spot_Price_FOB,Propane_TX_MontBelvieu_Spot_Price_FOB
1986,0.358015873016,,0.408714285714,0.397142857143,,0.398142857143,,,,,
1987,0.456468253968,0.441011904762,0.51525,0.505333333333,,0.522,,,,,
1988,0.380535714286,0.355912698413,0.493,0.481666666667,,0.4645,,,,,
1989,0.467638888889,0.434563492063,0.569666666667,0.557416666667,,0.557333333333,,,,,
1990,0.58255952381,0.56371031746,0.72825,0.7075,,0.687833333333,,,,0.761888888889,
1991,0.511964285714,0.476448412698,0.662083333333,0.634916666667,,0.6125,,,,0.607166666667,
1992,0.489603174603,0.459662698413,0.590833333333,0.574666666667,,0.572333333333,,,,0.571083333333,0.344
1993,0.439305555556,0.405773809524,0.5155,0.508583333333,,0.52475,,,,0.529333333333,0.311666666667
1994,0.409325396825,0.377162698413,0.490333333333,0.479416666667,,0.494,,,,0.493333333333,0.300166666667
1995,0.439027777778,0.405813492063,0.542583333333,0.50925,,0.493416666667,,,,0.494333333333,0.320416666667
1996,0.526507936508,0.49130952381,0.618833333333,0.596416666667,,0.631,,,0.780333333333,0.610666666667,0.42325
1997,0.490714285714,0.455198412698,0.603666666667,0.58525,,0.563916666667,,,0.678333333333,0.560083333333,0.374083333333
1998,0.343968253968,0.304265873016,0.427833333333,0.41325,,0.393,,,0.485916666667,0.4035,0.26125
1999,0.458591269841,0.424920634921,0.54175,0.5195,,0.488916666667,,,0.631,0.496083333333,0.340416666667
2000,0.721448412698,0.679107142857,0.85925,0.834333333333,,0.8775,,,0.977916666667,0.848666666667,0.581583333333
2001,0.617797619048,0.582142857143,0.7405,0.7395,,0.712,,,0.816,0.723666666667,0.472416666667
2002,0.621785714286,0.594365079365,0.722666666667,0.718583333333,,0.6795,,,0.749916666667,0.685333333333,0.409333333333
2003,0.740972222222,0.687678571429,0.885166666667,0.87175,1.03942857143,0.850166666667,,,0.914666666667,0.825666666667,0.57775
2004,0.986746031746,0.910238095238,1.17966666667,1.16866666667,1.40375,1.1165,,,1.31766666667,1.14991666667,0.742583333333
2005,1.34505952381,1.29567460317,1.55866666667,1.5895,1.76691666667,1.62141666667,,,1.78908333333,1.71016666667,0.9125
2006,1.57186507937,1.55111111111,1.82191666667,1.824,2.06258333333,1.80333333333,1.97185714286,1.96185714286,2.08258333333,1.92075,1.01341666667
2007,1.72186507937,1.72535714286,2.05933333333,2.03783333333,2.29183333333,2.03158333333,2.15141666667,2.14575,2.24816666667,2.12991666667,1.20741666667
2008,2.37075396825,2.30589285714,2.44833333333,2.46875,2.62658333333,2.85275,2.97358333333,2.92033333333,2.90841666667,2.96166666667,1.41208333333
2009,1.46795634921,1.46404761905,1.65908333333,1.62933333333,1.84091666667,1.64141666667,1.69441666667,1.65925,1.69641666667,1.65925,0.841833333333
2010,1.89035714286,1.89313492063,2.09225,2.05108333333,2.20966666667,2.12483333333,2.19408333333,2.15591666667,2.20408333333,2.14608333333,1.1655
2011,2.25890873016,2.6491468254,2.795,2.74575,2.89491666667,2.94633333333,3.01441666667,2.9695,3.04875,2.99608333333,1.46333333333
2012,2.24073412698,2.65837301587,2.93966666667,2.81366666667,3.03058333333,3.02375,3.11325,3.05291666667,3.10608333333,3.0565,1.00391666667
2013,2.33109126984,2.58660714286,2.81291666667,2.696,2.92191666667,2.92591666667,3.014,2.96783333333,3.01275,2.92341666667,1.00075
2014,2.22043650794,2.3576984127,2.61233333333,2.48808333333,2.66808333333,2.69641666667,2.80483333333,2.71083333333,2.78575,2.6965,1.042
2015,1.15924603175,1.24650793651,1.61175,1.553,1.94575,1.54675,1.66333333333,1.57916666667,1.66033333333,1.5255,0.457
2016,1.02724206349,1.03682539683,1.39075,1.33175,1.45383333333,1.2835,1.35141666667,1.3175,1.38666666667,1.24916666667,0.484416666667
2017,1.21352380952,1.25561904762,1.562,1.5598,1.7222,1.5164,1.575,1.5486,1.618,1.4856,0.6842
